SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
02127.*A,AIRPORT,SAC,9/20/12,AWP,SFO,CA,CALIFORNIA,SACRAMENTO,CA,SACRAMENTO,SACRAMENTO EXECUTIVE,PU,PU,CITY OF SACRAMENTO,6151 FREEPORT BLVD.,"SACRAMENTO, CA 95322-3518",    916-929-5411,JOHN DOWNEY,6151 FREEPORT BLVD,"SACRAMENTO, CA 95822",    916-875-9035,38-30-45.1000N,138645.1000N,121-29-36.5000W,437376.5000W,E,23,S,14E,2010,,SAN FRANCISCO,3,S,540,ZOA,ZCO,OAKLAND,,,,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,SAC,Y,4/1/40,O,,NGPY3,NO OBJECTION,N,N,N,Y,S,S,6242010,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SEE RMK,Y,122.95,119.5,Y,CG,N,,248,44,5,2,0,0,0,0,,4715,17844,67986,55,9/30/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AFRT,AMB,AVNCS,CHTR,INSTR,RNTL,SALES,SURV",Y-L
02124.2*A,AIRPORT,SMF,9/20/12,AWP,SFO,CA,CALIFORNIA,SACRAMENTO,CA,SACRAMENTO,SACRAMENTO INTL,PU,PU,COUNTY OF SACRAMENTO,6900 AIRPORT BLVD,"SACRAMENTO, CA 95837",    916-929-5411,LANCE MCCASLAND,6900 AIRPORT BLVD,"SACRAMENTO, CA 95837",    916-874-0566,38-41-43.6000N,139303.6000N,121-35-26.8000W,437726.8000W,E,27,S,17E,1980,,SAN FRANCISCO,10,NW,6000,ZOA,ZCO,OAKLAND,,,,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,SMF,Y,6/1/62,O,I C S 05/1973,NGHY,NO OBJECTION,N,Y,N,Y,F,F,9062011,,100LLA,MINOR,MAJOR,NONE,NONE,,SS-SR,Y,122.95,,N,CG,N,,1,0,7,,,,,84720,,17228,4208,8500,2958,6/30/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AFRT,CARGO,CHTR",Y-L
02126.*A,AIRPORT,MHR,9/20/12,AWP,SFO,CA,CALIFORNIA,SACRAMENTO,CA,SACRAMENTO,SACRAMENTO MATHER,PU,PU,COUNTY OF SACRAMENTO,6900 AIRPORT BLVD.,"SACRAMENTO, CA 95837",    916-929-5411,PAUL BONNIER,3745 WHITEHEAD STREET,"MATHER, CA 95655",    916-875-6760,38-33-19.1000N,138799.1000N,121-17-49.9000W,436669.9000W,E,98,S,17E,1980,,SAN FRANCISCO,10,E,2875,ZOA,ZCO,OAKLAND,,,,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,MHR,Y,7/1/42,O,,N,NOT ANALYZED,N,N,,Y,S,S,10142011,9091976,100LLA,MAJOR,MAJOR,,LOW,SEE RMK,SS-SR,Y,123.075,120.65,N,CG,N,,21,4,0,0,,41,,5398,,14047,6941,34229,21791,9/30/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,CARGO",Y-L
02137.*A,AIRPORT,SNS,9/20/12,AWP,SFO,CA,CALIFORNIA,MONTEREY,CA,SALINAS,SALINAS MUNI,PU,PU,CITY OF SALINAS,200 LINCOLN AVE,"SALINAS, CA 93901",    831-758-7214,GARY PETERSEN,30 MORTENSEN AVE,"SALINAS, CA 93905",    831-758-7214,36-39-46.0314N,131986.0314N,121-36-22.9191W,437782.9191W,E,84,S,16E,1980,800,SAN FRANCISCO,3,SE,605,ZOA,ZCO,OAKLAND,,,,N,OAK,OAKLAND,,1-800-WX-BRIEF,,,,SNS,Y,6/1/42,O,,NGPY,NO OBJECTION,N,N,N,Y,S,S,2092012,,100LLA,MAJOR,MAJOR,HIGH,NONE,SEE RMK,SS-SR,Y,122.95,119.4,N,CG,N,,164,15,4,14,,,,,,1480,35000,40861,555,2/9/12,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AGRI,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L
02154.*A,AIRPORT,SBD,9/20/12,AWP,LAX,CA,CALIFORNIA,SAN BERNARDINO,CA,SAN BERNARDINO,SAN BERNARDINO INTL,PU,PU,SAN BERNARDINO INTL AIRPORT AUTH,294 S LELAND NORTON WAY SUITE 1,"SAN BERNARDINO, CA 92408",    909-382-4100,BILL INGRAHAM,294 S LELAND NORTON WAY SUITE 1,"SAN BERNARDINO, CA 92408",    909-382-4100,34-05-43.3000N,122743.3000N,117-14-05.6000W,422045.6000W,E,1159,S,13E,2005,800,LOS ANGELES,2,SE,1329,ZLA,ZCL,LOS ANGELES,,,,N,RAL,RIVERSIDE,,1-800-WX-BRIEF,,,,RAL,Y,7/1/40,O,IV A U 06/1996,NGPY,NOT ANALYZED,N,Y,,Y,S,F,1122012,,100LLA,MAJOR,MAJOR,,HIGH,SEE RMK,SS-SR,Y,122.975,119.45,Y,CG,Y,,11,2,5,1,,,,278,,378,11831,12731,220,12/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AFRT,AVNCS,CARGO,INSTR,RNTL",Y-L
02180.*A,AIRPORT,SDM,9/20/12,AWP,LAX,CA,CALIFORNIA,SAN DIEGO,CA,SAN DIEGO,BROWN FIELD MUNI,PU,PU,CITY OF SAN DIEGO,1424 CONTINENTAL ST,"SAN DIEGO, CA 92154",    619-424-0455,CHRIS COOPER,1424 CONTINENTAL ST,"SAN DIEGO, CA 92154",    619-424-0456,32-34-20.1800N,117260.1800N,116-58-48.5800W,421128.5800W,E,526,S,14E,1980,,LOS ANGELES,13,SE,899,ZLA,ZCL,LOS ANGELES,,,,N,SAN,SAN DIEGO,,1-800-WX-BRIEF,,,,SDM,Y,3/1/48,O,,NGPY,NO OBJECTION,N,Y,N,Y,S,S,1262012,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,122.95,128.25,Y,CG,N,,114,19,7,2,0,0,0,,,1817,50778,34068,14454,12/31/11,FAA-EST,00:00.0,NGS,00:00.0,,TIE,"AFRT,AVNCS,CARGO,CHTR,INSTR,PAJA,RNTL,SALES",Y-L
02170.*A,AIRPORT,SAN,9/20/12,AWP,LAX,CA,CALIFORNIA,SAN DIEGO,CA,SAN DIEGO,SAN DIEGO INTL,PU,PU,SAN DIEGO CNTY REG ARPT AUTHORITY,3225 N HARBOR DRIVE,"SAN DIEGO, CA 92101-1022",  (619) 400-2678,ANGELA SHAFER-PAYNE,3225 N HARBOR DRIVE,"SAN DIEGO, CA 92101-1022",  (619) 400-2455,32-44-00.8000N,117840.8000N,117-11-22.8000W,421882.8000W,E,17,E,14E,1980,,LOS ANGELES,2,W,614,ZLA,ZCL,LOS ANGELES,,,,N,SAN,SAN DIEGO,,1-800-WX-BRIEF,,,,SAN,Y,4/1/40,O,I D S 05/1973,NGSY,NO OBJECTION,Y,N,Y,Y,F,F,6252012,,100LLA,MINOR,MINOR,NONE,HIGH/LOW,,SS-SR,Y,122.95,,N,CG,N,,,0,6,0,,,,161058,,28813,3,11113,733,5/31/12,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,RNTL,SURV",Y-L
02165.*A,AIRPORT,SEE,9/20/12,AWP,LAX,CA,CALIFORNIA,SAN DIEGO,CA,SAN DIEGO/EL CAJON,GILLESPIE FIELD,PU,PU,COUNTY OF SAN DIEGO,"DEPT PUBLIC WORKS-AIRPORTS, 1960 JOE CROSSON DR","EL CAJON, CA 92020-1236",    619-956-4800,MARC BASKEL,"GILLESPIE FIELD AIRPORT, 1960 JOE CROSSON DR","EL CAJON, CA 92020-1236",    619-956-4805,32-49-34.4000N,118174.4000N,116-58-20.8000W,421100.8000W,E,388,S,13E,1990,,LOS ANGELES,10,NE,852,ZLA,ZCL,LOS ANGELES,,,,N,SAN,SAN DIEGO,,1-800-WX-BRIEF,,,,SEE,Y,12/1/42,O,,NGPY,NO OBJECTION,,,N,Y,S,S,3062012,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,123.05,120.7,Y,CG,N,,686,60,20,34,5,0,,0,,55,131143,78652,18,12/31/11,NGS,00:00.0,NGS,00:00.0,,TIE,"AFRT,AMB,AVNCS,CHTR,INSTR,RNTL,SALES,SURV",Y-L
02187.*A,AIRPORT,SFO,9/20/12,AWP,SFO,CA,CALIFORNIA,SAN MATEO,CA,SAN FRANCISCO,SAN FRANCISCO INTL,PU,PU,CITY & COUNTY OF SAN FRANCISCO,PO BOX 8097,"SAN FRANCISCO, CA 94128",    650-821-5000,JOHN L. MARTIN,PO BOX 8097,"SAN FRANCISCO, CA 94128",    650-821-5000,37-37-08.3000N,135428.3000N,122-22-29.6000W,440549.6000W,E,13,S,17E,1975,,SAN FRANCISCO,8,SE,5207,ZOA,ZCO,OAKLAND,,,,N,OAK,OAKLAND,,1-800-WX-BRIEF,,,,SFO,Y,4/1/40,O,I E S 05/1973,NGPRY,NO OBJECTION,N,Y,Y,Y,F,F,4122012,,100  100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SS-SR,Y,122.95,,N,CG,Y,,1,1,7,1,,,,312358,,92443,12890,6335,3048,3/31/12,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR",Y-L
02204.*A,AIRPORT,SJC,9/20/12,AWP,SFO,CA,CALIFORNIA,SANTA CLARA,CA,SAN JOSE,NORMAN Y. MINETA SAN JOSE INTL,PU,PU,CITY OF SAN JOSE,200 E. SANTA CLARA STREET,"SAN JOSE, CA 95113",    408-392-5100,"WILLIAM SHERRY, AAE","1701 AIRPORT BLVD., SUITE B-1130","SAN JOSE, CA 95110-1206",    408-392-3600,37-21-45.6000N,134505.6000N,121-55-44.8000W,438944.8000W,E,62,S,16E,1990,,SAN FRANCISCO,2,NW,1050,ZOA,ZCO,OAKLAND,,,,N,OAK,OAKLAND,,1-800-WX-BRIEF,,,,SJC,Y,2/1/46,O,I C S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,2012012,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,,124,Y,CG,N,,68,16,51,3,,,,83322,,23235,5034,25022,315,12/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
02230.*A,AIRPORT,SNA,9/20/12,AWP,LAX,CA,CALIFORNIA,ORANGE,CA,SANTA ANA,JOHN WAYNE AIRPORT-ORANGE COUNTY,PU,PU,ORANGE COUNTY,3160 AIRWAY AVENUE,"COSTA MESA, CA 92626",    949-252-5171,ALAN L. MURPHY,3160 AIRWAY AVE,"COSTA MESA, CA 92626",    949-252-5171,33-40-32.4000N,121232.4000N,117-52-05.6000W,424325.6000W,E,56,S,14E,1990,,LOS ANGELES,4,S,504,ZLA,ZCL,LOS ANGELES,,,,N,RAL,RIVERSIDE,,1-800-WX-BRIEF,,,,SNA,Y,11/1/41,O,I C S 05/1973,NGPY3,NO OBJECTION,N,N,N,Y,F,F,1112012,,100LLA,MAJOR,MAJOR,HIGH/LOW,,SEE RMK,SS-SR,Y,122.95,126.8,Y,CG,N,,361,51,42,12,,,,79900,,3259,71915,97799,195,11/30/11,NGS,00:00.0,NGS,00:00.0,,TIE,"AFRT,AMB,AVNCS,CHTR,INSTR,RNTL,SALES,SURV",Y-L
02235.*A,AIRPORT,SBA,9/20/12,AWP,LAX,CA,CALIFORNIA,SANTA BARBARA,CA,SANTA BARBARA,SANTA BARBARA MUNI,PU,PU,CITY OF SANTA BARBARA,CITY HALL,"SANTA BARBARA, CA 93101",    805-967-7111,KAREN RAMSDELL,601 FIRESTONE RD,"GOLETA, CA 93117",    805-967-7111,34-25-34.3000N,123934.3000N,119-50-29.4000W,431429.4000W,E,13,S,14E,1985,,LOS ANGELES,7,W,948,ZLA,ZCL,LOS ANGELES,,,,N,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,SBA,Y,4/1/40,O,I C S 05/1973,NGPY3,NO OBJECTION,N,Y,N,Y,F,F,3082012,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,119.7,Y,CG,N,,145,22,29,6,1,,,3568,,23229,43562,71786,1427,12/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AFRT,AGRI,AVNCS,CARGO,CHTR,INSTR,SALES",Y-L
02251.*A,AIRPORT,SMX,9/20/12,AWP,LAX,CA,CALIFORNIA,SANTA BARBARA,CA,SANTA MARIA,SANTA MARIA PUB/CAPT G ALLAN HANCOCK FLD,PU,PU,SANTA MARIA PUBLIC APT DIST,3217 TERMINAL DR,"SANTA MARIA, CA 93455",    805-922-1726,CHRIS HASTERT,3217 TERMINAL DR,"SANTA MARIA, CA 93455",    805-922-1726,34-53-59.8000N,125639.8000N,120-27-29.1000W,433649.1000W,E,261,S,14E,1985,,LOS ANGELES,3,S,2516,ZLA,ZCL,LOS ANGELES,,,,N,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,SMX,Y,6/1/47,O,I A S 05/1973,NGPY,NO OBJECTION,N,N,N,Y,F,F,5222012,,100LLA,MAJOR,MAJOR,,,SEE RMK,SS-SR,Y,122.95,118.3,Y,CG,N,,215,17,4,17,2,,1,357,,11700,15320,20021,614,12/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AFRT,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L
02260.*A,AIRPORT,STS,9/20/12,AWP,SFO,CA,CALIFORNIA,SONOMA,CA,SANTA ROSA,CHARLES M. SCHULZ - SONOMA COUNTY,PU,PU,SONOMA COUNTY,2290 AIRPORT BLVD,"SANTA ROSA, CA 95403",    707-565-7240,JON G. STOUT,2290 AIRPORT BLVD,"SANTA ROSA, CA 95403",    707-565-7243,38-30-32.3605N,138632.3605N,122-48-46.3503W,442126.3503W,E,128,S,16E,1985,,SAN FRANCISCO,6,NW,1014,ZOA,ZCO,OAKLAND,,,,N,OAK,OAKLAND,,1-800-WX-BRIEF,,,,STS,Y,,O,I B U 05/1973,NGPRY,NOT ANALYZED,N,N,N,Y,F,F,4252012,,100LLA,MAJOR,MAJOR,LOW,LOW,SEE RMK,SS-SR,Y,122.95,118.5,Y,CG,Y,,267,39,5,1,2,,,3012,,5926,24587,45661,376,12/31/11,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
02292.*A,AIRPORT,MIT,9/20/12,AWP,LAX,CA,CALIFORNIA,KERN,CA,SHAFTER,SHAFTER-MINTER FIELD,PU,PU,MINTER FIELD AIRPORT DISTRICT,201 AVIATION ST,"SHAFTER, CA 93263",    661-393-0402,SANDY WORLEY,201 AVIATION ST,"SHAFTER, CA 93263",    661-393-0402,35-30-26.9114N,127826.9114N,119-11-31.6836W,429091.6836W,E,425,E,13E,2010,1000,LOS ANGELES,4,E,1206,ZLA,ZCL,LOS ANGELES,,,,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,RIU,Y,3/1/48,O,,NGPY,NO OBJECTION,N,N,N,Y,S,S,11012011,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,,122.9,Y,CG,N,,88,4,5,9,,,8,,,,20000,25000,,11/1/11,FAA-EST,00:00.0,FAA,00:00.0,,TIE,"AGRI,INSTR",Y-L
02314.*A,AIRPORT,SCK,9/20/12,AWP,SFO,CA,CALIFORNIA,SAN JOAQUIN,CA,STOCKTON,STOCKTON METROPOLITAN,PU,PU,COUNTY OF SAN JOAQUIN,5000 S AIRPORT WAY,"STOCKTON, CA 95206",    209-468-4700,PATRICK CARRENO,5000 S. AIRPORT WAY ROOM 202,"STOCKTON, CA 95206",    209-468-4700,37-53-39.0000N,136419.0000N,121-14-17.9000W,436457.9000W,E,33,S,14E,2010,,SAN FRANCISCO,3,SE,1552,ZOA,ZCO,OAKLAND,,,,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,SCK,Y,4/1/40,O,I B S 05/1973,NGPY,NO OBJECTION,N,N,Y,Y,F,F,2082012,,100  100LLA,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,122.95,120.3,Y,CG,Y,,114,14,11,2,,18,1,877,,1681,11554,28107,4835,1/31/11,NGS,00:00.0,NGS,00:00.0,,HGR,"CHTR,INSTR,RNTL,SALES",Y-L
02356.1*A,AIRPORT,TOA,9/20/12,AWP,LAX,CA,CALIFORNIA,LOS ANGELES,CA,TORRANCE,ZAMPERINI FIELD,PU,PU,CITY OF TORRANCE,3031 TORRANCE BLVD,"TORRANCE, CA 90503",    310-784-7900,SHANT MEGERDICHIAN,"CITY OF TORRANCE, 3301 AIRPORT DRIVE","TORRANCE, CA 90505",    310-784-7914,33-48-12.2000N,121692.2000N,118-20-22.6000W,426022.6000W,E,103,S,14E,1970,1000,LOS ANGELES,3,SW,506,ZLA,ZCL,LOS ANGELES,,,,N,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,TOA,Y,,O,,NY1,NO OBJECTION,N,N,N,Y,S,S,12142011,,100LL80,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,124,Y,CG,N,Y,444,42,,11,2,,,,,245,76405,94903,1474,12/14/11,NGS,00:00.0,NGS,00:00.0,,TIE,"AVNCS,CHTR,INSTR,RNTL,SALES",Y-L
02366.*A,AIRPORT,TRK,9/20/12,AWP,SFO,CA,CALIFORNIA,NEVADA,CA,TRUCKEE,TRUCKEE-TAHOE,PU,PU,TRUCKEE-TAHOE AIRPORT DIST,10356 TRUCKEE AIRPORT RD,"TRUCKEE, CA 96161",    530-587-4540,KEVIN SMITH,10356 TRUCKEE AIRPORT RD,"TRUCKEE, CA 96161",    530-587-4119,39-19-12.1520N,141552.1520N,120-08-22.4260W,432502.4260W,E,5901,S,16E,2000,1100,SAN FRANCISCO,2,E,2280,ZOA,ZCO,OAKLAND,,,,N,RNO,RENO,,1-800-WX-BRIEF,,,,TRK,Y,10/1/62,O,,NGSY,NO OBJECTION,N,N,N,Y,S,S,5102012,,100LLA    A1+,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,58,9,1,0,3,,1,,,1000,21000,12976,24,4/30/12,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","CHTR,GLD,INSTR,RNTL,TOW",Y-L
02396.*A,AIRPORT,VNY,9/20/12,AWP,LAX,CA,CALIFORNIA,LOS ANGELES,CA,VAN NUYS,VAN NUYS,PU,PU,LOS ANGELES  WORLD ARPTS,1 WORLD WAY,"LOS ANGELES, CA 90045",    424-646-6250,JESS ROMO,16461 SHERMAN WY SUITE 300,"VAN NUYS, CA 91406",    424-442-6500,34-12-35.3000N,123155.3000N,118-29-23.9000W,426563.9000W,E,802,S,15E,1980,,LOS ANGELES,3,NW,725,ZLA,ZCL,LOS ANGELES,,,,N,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,VNY,Y,7/1/42,O,,NGPY,NO OBJECTION,N,N,Y,Y,S,S,1182012,,100LLA,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,122.95,119.3,,CG,N,,254,74,182,51,,12,,,,16408,155420,332117,557,1/18/12,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AMB,AVNCS,CHTR,INSTR,RNTL,SALES,SURV",Y-L
02407.*A,AIRPORT,VCV,9/20/12,AWP,LAX,CA,CALIFORNIA,SAN BERNARDINO,CA,VICTORVILLE,SOUTHERN CALIFORNIA LOGISTICS,PU,PU,SOUTHERN CAL LOGISTICS ARPT AUTH,18374  PHANTOM,"VICTORVILLE, CA 92394",    760-243-1900,KEITH METZLER,"SO CAL LOGISTICS AIRPORT AUTHORITY, 18374 PHANTOM WEST","VICTORVILLE, CA 92394",    760-243-1900,34-35-50.9000N,124550.9000N,117-22-58.8000W,422578.8000W,E,2885,S,14E,1995,1000,LOS ANGELES,5,NW,2300,ZLA,ZCL,LOS ANGELES,,,,N,RAL,RIVERSIDE,,1-800-WX-BRIEF,,,,VCV,Y,9/1/43,O,IV A U 03/1995,NGY,NOT ANALYZED,N,N,Y,Y,S,F,1122012,,100LLA,MAJOR,MAJOR,,,SEE RMK,SS-SR,Y,,,Y,CG,N,,2,4,172,1,,9,,1351,,1684,6804,13511,19941,12/31/11,NGS,00:00.0,NGS,00:00.0,,TIE,"AFRT,AMB,CARGO",Y-L
02413.*A,AIRPORT,VIS,9/20/12,AWP,SFO,CA,CALIFORNIA,TULARE,CA,VISALIA,VISALIA MUNI,PU,PU,CITY OF VISALIA,"CITY HALL, 707 WEST ACEQUIA","VISALIA, CA 93291",    559-713-4201,MARIO CIFUENTEZ,9501 ARPT DRIVE,"VISALIA, CA 93277",    559-713-4480,36-19-07.2000N,130747.2000N,119-23-34.4000W,429814.4000W,E,295,S,14E,2010,1000,SAN FRANCISCO,4,W,821,ZOA,ZCO,OAKLAND,,,,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,VIS,Y,,O,III A S 05/1973,NGRY,NO OBJECTION,N,N,N,Y,F,F,4192012,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123.05,123.05,Y,CG,N,,118,30,4,1,1,,,3000,,4000,30000,45000,500,3/31/12,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AVNCS,CHTR,INSTR,RNTL",Y-L
02503.*A,AIRPORT,AKO,9/20/12,ANM,DEN,CO,COLORADO,WASHINGTON,CO,AKRON,COLORADO PLAINS RGNL,PU,PU,TOWN OF AKRON,"CITY HALL, P.O. BOX P","AKRON, CO 80720",    970-345-2624,RANDY HAYES,PO BOX O,"AKRON, CO 80720",    970-345-2397,40-10-32.3000N,144632.3000N,103-13-19.3000W,371599.3000W,E,4716,S,10E,2000,,CHEYENNE,1,N,639,ZDV,ZCD,DENVER,,,,N,DEN,DENVER,,1-800-WX-BRIEF,,,,AKO,Y,10/1/46,O,,NGY,NO OBJECTION,N,N,N,Y,S,F,2282011,,100LLA1,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,13,0,0,2,,,,20,,180,4000,12500,400,1/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AGRI,INSTR",Y-L
02510.*A,AIRPORT,ALS,9/20/12,ANM,DEN,CO,COLORADO,ALAMOSA,CO,ALAMOSA,SAN LUIS VALLEY RGNL/BERGMAN FIELD,PU,PU,CITY AND CO OF ALAMOSA,PO BOX 328,"ALAMOSA, CO 81101",    719-589-4848,CAROL OSBORN,PO BOX 328,"ALAMOSA, CO 81101",    719-587-5165,37-26-05.7000N,134765.7000N,105-51-59.6000W,381119.6000W,E,7539,S,09E,2010,,DENVER,2,S,1700,ZDV,ZCD,DENVER,,,,N,DEN,DENVER,,1-800-WX-BRIEF,,,,ALS,Y,3/1/41,O,III A S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,6292011,,100LLA,MAJOR,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,37,4,0,1,,,,,,7204,8000,14568,1000,1/1/11,NGS,,,,,"HGR,TIE","AGRI,INSTR,RNTL,SALES",Y-L
02517.*A,AIRPORT,ASE,9/20/12,ANM,DEN,CO,COLORADO,PITKIN,CO,ASPEN,ASPEN-PITKIN CO/SARDY FIELD,PU,PU,PITKIN COUNTY,506 E MAIN,"ASPEN, CO 81611",    970-920-5200,JAMES ELWOOD,0233 E AIRPORT RD,"ASPEN, CO 81611",    970-920-5384,39-13-18.7600N,141198.7600N,106-52-05.6450W,384725.6450W,E,7837,S,09E,2015,,DENVER,3,NW,573,ZDV,ZCD,DENVER,,,,N,DEN,DENVER,,1-800-WX-BRIEF,,,,ASE,Y,3/1/49,O,I B S 05/1973,NGY,NOT ANALYZED,N,N,N,Y,F,F,8272009,,100LLA1+,MINOR,MINOR,HIGH,HIGH,,SEE RMK,Y,122.95,118.85,Y,CG,Y,,61,10,6,2,3,,,9682,,8664,3494,15677,98,12/31/11,NGS,,,,,"HGR,TIE","AFRT,AMB,CHTR,GLD,INSTR,PAJA,RNTL,TOW",Y-L
02531.01*A,AIRPORT,ITR,9/20/12,ANM,DEN,CO,COLORADO,KIT CARSON,CO,BURLINGTON,KIT CARSON COUNTY,PU,PU,CITY OF BURLINGTON,415 15TH STREET,"BURLINGTON, CO 80807",    719-346-8652,BRANDON STEWART,14111 HWY 385,"BURLINGTON, CO 80807",    719-346-5352,39-14-33.0000N,141273.0000N,102-17-07.4000W,368227.4000W,E,4219,S,10E,1990,,WICHITA,3,S,684,ZDV,ZCD,DENVER,,,,N,DEN,DENVER,,1-800-WX-BRIEF,,,,ITR,Y,6/1/84,O,,NGY,NO OBJECTION,,,,Y,S,S,5232012,5231984,100LLA1+,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,19,0,0,0,,,,,,0,3000,4313,72,12/31/11,NGS,,,,,"HGR,TIE",AGRI,Y-L
